date,ano,section,title,url,palavras_chave,frame_predominante,area,abrangencia,instituicoes,pessoas
03/01/2025,2025,fato ou fake,É #FAKE que g1 publicou página recomendando Prostzol e que produto previna câncer de próstata,https://g1.globo.com/fato-ou-fake/noticia/2025/01/03/e-fake-que-g1-publicou-pagina-recomendando-prostzol-e-que-produto-previna-cancer-de-prostata.ghtml,"[""Prostzol"", ""câncer de próstata"", ""Prêmio Nobel"", ""Anvisa"", ""Sociedade Brasileira de Urologia"", ""desinformação"", ""testosterona pulsátil""]",RISCO_E_AMEACA,Ciências da Saúde,NACIONAL,"[""Anvisa"", ""Sociedade Brasileira de Urologia""]","[""Gary Ruvkun"", ""Victor Ambros""]"
03/01/2025,2025,ciência,A corrida para estudar a Antártida antes que ela derreta,https://www.bbc.com/portuguese/articles/cg529zpdpy1o,"[""Antártida"", ""mudanças climáticas"", ""biólogo marinho"", ""gelo"", ""vida marinha"", ""Serviço Antártico Britânico"", ""geleiras"", ""temperaturas""]",RISCO_E_AMEACA,Ciências Biológicas,INTERNACIONAL,"[""Serviço Antártico Britânico""]","[""Simon Morley""]"
03/01/2025,2025,ciência,"Calendário astronômico de 2025: confira quando haverá eclipses, chuvas de meteoro e superluas",https://g1.globo.com/ciencia/noticia/2025/01/03/calendario-astronomico-de-2025-confira-quando-havera-eclipses-chuvas-de-meteoro-e-superluas.ghtml,"[""eclipses"", ""chuvas de meteoros"", ""superluas"", ""astronomia"", ""periélio"", ""afélio"", ""Lua de Sangue"", ""Nasa""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Exatas e da Terra,NACIONAL,"[""Nasa""]",[]
03/01/2025,2025,ciência,DNA antigo ajuda a compreender extinção das espécies,https://www1.folha.uol.com.br/ciencia/2025/01/estudos-com-dna-antigo-ajudam-a-compreender-como-especies-se-extinguiram.shtml,"[""DNA antigo"", ""arqueogenética"", ""extinção"", ""espécies"", ""Universidade da Califórnia"", ""USP"", ""André Strauss"", ""Beth Shapiro""]",DESCOBERTA_CIENTIFICA,Interdisciplinar,NACIONAL,"[""Universidade da Califórnia"", ""USP"", ""Instituto Max Planck""]","[""Beth Shapiro"", ""André Strauss"", ""Svante Pääbo""]"
03/01/2025,2025,mundo,Queda de peça de foguete de 500 kg em vila no Quênia é evento raro: 'Uma em 1 milhão',https://g1.globo.com/mundo/noticia/2025/01/03/queda-de-peca-de-foguete-de-500-kg-em-vila-no-quenia-e-evento-raro-uma-em-1-milhao.ghtml,"[""foguete"", ""Quênia"", ""destroços"", ""lixo espacial"", ""Agência Espacial"", ""impacto"", ""responsabilidade""]",RISCO_E_AMEACA,Interdisciplinar,INTERNACIONAL,"[""Agência Espacial""]",[]
03/01/2025,2025,ciência,"8 formas de ser mais feliz neste ano, segundo a ciência",https://g1.globo.com/ciencia/noticia/2025/01/03/8-formas-de-ser-mais-feliz-neste-ano-segundo-a-ciencia.ghtml,"[""felicidade"", ""amizade"", ""bem-estar"", ""confelicidade"", ""saúde"", ""relacionamentos"", ""envelhecimento""]",PROMESSA_E_BENEFICIOS,Ciências Humanas,NACIONAL,[],"[""David Robson""]"
03/01/2025,2025,ciência,Orca é vista carregando seu filhote morto no Pacífico,https://www1.folha.uol.com.br/ciencia/2025/01/orca-e-vista-carregando-seu-filhote-morto-no-oceano-pacifico.shtml,"[""orca"", ""filhote"", ""Tahlequah"", ""Centro de Pesquisa de Baleias"", ""Ken Balcomb"", ""Puget Sound"", ""Serviço Nacional de Pesca Marinha""]",RISCO_E_AMEACA,Ciências Biológicas,NACIONAL,"[""Centro de Pesquisa de Baleias"", ""Serviço Nacional de Pesca Marinha""]","[""Ken Balcomb""]"
03/01/2025,2025,ciência,SpaceX: Starship lançará imitação de satélites em teste,https://www1.folha.uol.com.br/ciencia/2025/01/starship-da-spacex-lancara-imitacao-de-satelites-do-starlink-em-proximo-teste.shtml,"[""SpaceX"", ""Starship"", ""satélites"", ""Elon Musk"", ""lançamento"", ""teste"", ""Boca Chica"", ""Super Heavy""]",INOVACAO_TECNOLOGICA,Engenharias,INTERNACIONAL,"[""SpaceX""]","[""Elon Musk"", ""Donald Trump""]"
04/01/2025,2025,ciência,Conjunção entre a Lua e Vênus encanta espectadores pelo mundo; veja FOTOS,https://g1.globo.com/ciencia/noticia/2025/01/04/conjuncao-entre-a-lua-e-venus-fotos.ghtml,"[""Vênus"", ""Lua"", ""conjunção planetária"", ""observadores"", ""fenômeno astronômico"", ""Universidade Federal do Rio de Janeiro""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,"[""Universidade Federal do Rio de Janeiro""]",[]
04/01/2025,2025,ciência,A busca pelo relógio mais preciso para medir o tempo,https://www1.folha.uol.com.br/ciencia/2025/01/a-busca-pelo-relogio-mais-preciso-para-medir-o-tempo-e-por-que-ele-e-tao-importante.shtml,"[""medição do tempo"", ""segundo"", ""césio-133"", ""frequência de transição"", ""avanços tecnológicos""]",DESCOBERTA_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,[],[]
04/01/2025,2025,ciência,Alada: Lula sanciona criação da estatal aeroespacial,https://www1.folha.uol.com.br/ciencia/2025/01/lula-sanciona-lei-que-autoriza-criacao-da-estatal-aeroespacial-alada.shtml,"[""Alada"", ""estatal"", ""aeroespacial"", ""NAV Brasil"", ""Ministério da Defesa"", ""tecnologias sensíveis"", ""dependência"", ""inovação""]",POLITICA_CIENTIFICA_E_GOVERNANCA,Engenharias,NACIONAL,"[""NAV Brasil"", ""Ministério da Defesa"", ""Palácio do Planalto""]","[""Luiz Inácio Lula da Silva""]"
04/01/2025,2025,ciência,A corrida para estudar a Antártida antes que ela derreta,https://www1.folha.uol.com.br/ciencia/2025/01/a-corrida-para-estudar-a-antartida-antes-que-ela-derreta.shtml,"[""Antártida"", ""mudanças climáticas"", ""biólogo marinho"", ""Serviço Antártico Britânico"", ""geleiras"", ""espécies marinhas"", ""mergulhos"", ""vegetação invasora""]",RISCO_E_AMEACA,Ciências Biológicas,INTERNACIONAL,"[""Serviço Antártico Britânico""]","[""Simon Morley""]"
04/01/2025,2025,ciência,Múltiplas missões privadas tentam chegar à Lua em 2025,https://www1.folha.uol.com.br/ciencia/2025/01/multiplas-missoes-privadas-tentam-chegar-a-lua-em-2025.shtml,"[""Lua"", ""missões privadas"", ""Nasa"", ""SpaceX"", ""Blue Origin"", ""Astrobotic"", ""Intuitive Machines"", ""tecnologia espacial""]",INOVACAO_TECNOLOGICA,Engenharias,INTERNACIONAL,"[""Nasa"", ""SpaceX"", ""Blue Origin"", ""Intuitive Machines"", ""Astrobotic"", ""ispace""]","[""Elon Musk""]"
04/01/2025,2025,ciência,Inteligência artificial: o que esperar da tecnologia em 2025,https://www.bbc.com/portuguese/articles/c2kx2e74jyxo,"[""inteligência artificial"", ""saúde"", ""AlphaFold"", ""ClimateNet"", ""decisões jurídicas"", ""médico centauro"", ""professor centauro""]",PROMESSA_E_BENEFICIOS,Interdisciplinar,INTERNACIONAL,"[""Alphabet"", ""Google""]","[""Francisco Herrera Triguero""]"
04/01/2025,2025,ciência,Como ciência descobriu há 100 anos que Via Láctea não é a única galáxia do Universo,https://g1.globo.com/ciencia/noticia/2025/01/04/como-ciencia-descobriu-ha-100-anos-que-via-lactea-nao-e-a-unica-galaxia-do-universo.ghtml,"[""Via Láctea"", ""galáxias"", ""Edwin Hubble"", ""Harlow Shapley"", ""Heber Curtis"", ""Henrietta Swan Leavitt"", ""relação período-luminosidade""]",DESCOBERTA_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,"[""Observatório da Faculdade Harvard"", ""Observatório Monte Wilson""]","[""Edwin Hubble"", ""Harlow Shapley"", ""Heber Curtis"", ""Henrietta Swan Leavitt""]"
04/01/2025,2025,ciência,A busca pelo relógio mais preciso para medir o tempo (e por que ele é tão importante),https://www.bbc.com/portuguese/articles/cy9q24n50qpo,"[""medição do tempo"", ""segundo"", ""césio-133"", ""precisão"", ""frequência de transição"", ""relógio mecânico"", ""história do tempo""]",DESCOBERTA_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,[],"[""Vittorio Aita""]"
04/01/2025,2025,ciência,As fronteiras do mundo alteradas pelas mudanças climáticas,https://www.bbc.com/portuguese/articles/cwy31yl2j34o,"[""mudanças climáticas"", ""geleiras"", ""fronteiras"", ""água de degelo"", ""deslizamentos de terra"", ""Áustria"", ""Itália"", ""Instituto de Pesquisa Interdisciplinar de Montanhas""]",RISCO_E_AMEACA,Ciências Ambientais,INTERNACIONAL,"[""Instituto de Pesquisa Interdisciplinar de Montanhas"", ""Academia Austríaca de Ciências""]","[""Paul Grüner"", ""Andrea Fischer""]"
05/01/2025,2025,ciência,Por que humanos não podem beber água do mar,https://www1.folha.uol.com.br/ciencia/2025/01/por-que-humanos-nao-podem-beber-agua-do-mar-ao-contrario-de-baleias-e-golfinhos.shtml,"[""água do mar"", ""desidratação"", ""metabolismo"", ""queratina"", ""equilíbrio osmótico"", ""sistema renina-angiotensina""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Biológicas,NACIONAL,[],[]
05/01/2025,2025,ciência,A rede de canais de pesca construída há 4.000 anos na América Central,https://www1.folha.uol.com.br/ciencia/2025/01/a-rede-de-canais-de-pesca-construida-ha-4000-anos-na-america-central.shtml,"[""canais de pesca"", ""povos arcaicos"", ""Belize"", ""civilização maia"", ""antropologia"", ""teledetecção"", ""drones""]",DESCOBERTA_CIENTIFICA,Ciências Humanas,NACIONAL,"[""Universidade de Vermont"", ""Universidade de New Hampshire""]","[""Marieka Brouwer Burg"", ""Eleanor Harrison-Buck""]"
05/01/2025,2025,blog longevidade: modo de usar,Uma academia com exercícios para os músculos e o cérebro,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/01/05/uma-academia-com-exercicios-para-os-musculos-e-o-cerebro.ghtml,"[""dupla tarefa motora"", ""cognitiva"", ""exercícios"", ""reabilitação neurológica"", ""neuroplasticidade"", ""demência"", ""saúde"", ""longevidade""]",PROMESSA_E_BENEFICIOS,Ciências da Saúde,INTERNACIONAL,"[""Sparkd""]","[""Anna Milani""]"
05/01/2025,2025,ciência,"Por que humanos não podem beber água do mar, ao contrário de baleias e golfinhos",https://g1.globo.com/ciencia/noticia/2025/01/05/por-que-humanos-nao-podem-beber-agua-do-mar-ao-contrario-de-baleias-e-golfinhos.ghtml,"[""água do mar"", ""desidratação"", ""pele"", ""queratina"", ""sistema renina-angiotensina"", ""sede""]",RISCO_E_AMEACA,Ciências Biológicas,NACIONAL,[],[]
05/01/2025,2025,ciência,"Presos, cientistas celebram Natal em barraca na Antártida",https://www1.folha.uol.com.br/ciencia/2025/01/presos-em-tempestade-cientistas-celebram-natal-em-pequena-barraca-no-gelo-da-antartida.shtml,"[""Antártida"", ""pesquisadores"", ""testemunhos de gelo"", ""microplásticos"", ""UFRGS"", ""tempestade"", ""coleta""]",DESCOBERTA_CIENTIFICA,Ciências Ambientais,INTERNACIONAL,"[""UFRGS""]","[""Filipe Gaudie Lindau""]"
05/01/2025,2025,ciência,O que sentimos e pensamos no momento da morte?,https://www1.folha.uol.com.br/ciencia/2025/01/o-que-sentimos-e-pensamos-no-momento-da-morte.shtml,"[""atividade cerebral"", ""experiências de quase morte"", ""ondas gama"", ""córtex somatossensorial"", ""parada cardíaca""]",DESCOBERTA_CIENTIFICA,Ciências da Saúde,INTERNACIONAL,"[""Universidade de Michigan""]",[]
05/01/2025,2025,ciência,Jeff Bezos anuncia voo inaugural do foguete New Glenn,https://www1.folha.uol.com.br/ciencia/2025/01/criador-da-amazon-jeff-bezos-anuncia-voo-inaugural-de-foguete-para-competir-com-a-spacex-de-elon-musk.shtml,"[""Blue Origin"", ""New Glenn"", ""Jeff Bezos"", ""SpaceX"", ""lançamentos espaciais"", ""Cabo Canaveral"", ""satélites"", ""David Limp""]",INOVACAO_TECNOLOGICA,Engenharias,INTERNACIONAL,"[""Blue Origin"", ""Nasa"", ""Universidade de Stanford""]","[""Jeff Bezos"", ""Laura Forczyk"", ""Scott Hubbard"", ""David Limp""]"
05/01/2025,2025,ciência,Civilizações antigas: a rede de canais de pesca construída há 4 mil anos na América Central,https://www.bbc.com/portuguese/articles/c4g2xzdj03zo,"[""canais de pesca"", ""povos arcaicos"", ""civilização maia"", ""antropologia"", ""Belize"", ""teledetecção"", ""drones""]",DESCOBERTA_CIENTIFICA,Ciências Biológicas,NACIONAL,"[""Universidade de Vermont"", ""Universidade de New Hampshire""]","[""Marieka Brouwer Burg"", ""Eleanor Harrison-Buck""]"
05/01/2025,2025,ciência,"Corpo humano: por que não podemos beber água do mar, ao contrário de baleias e golfinhos",https://www.bbc.com/portuguese/articles/cm2ewnlxrrmo,"[""água do mar"", ""desidratação"", ""pele"", ""queratina"", ""sistema renina-angiotensina"", ""sede"", ""metabolismo""]",EDUCACAO_E_EXPLICACAO_CIENTIFICA,Ciências Biológicas,NACIONAL,[],"[""A. Victoria de Andrés Fernández""]"
06/01/2025,2025,ciência,Lixo espacial de meia tonelada cai em vila no Quênia,https://www1.folha.uol.com.br/ciencia/2025/01/pedaco-de-lixo-espacial-de-meia-tonelada-cai-em-vila-no-quenia.shtml,"[""lixo espacial"", ""Quênia"", ""Agência Espacial do Quênia"", ""Makueni"", ""Aloyce Were"", ""Sara Webb"", ""Universidade de Tecnologia Swinburne"", ""Agência Espacial Europeia""]",RISCO_E_AMEACA,Ciências Exatas e da Terra,INTERNACIONAL,"[""Agência Espacial do Quênia"", ""Agência Espacial Europeia"", ""Universidade de Tecnologia Swinburne""]","[""Joseph Mutua"", ""Paul Musili"", ""Aloyce Were"", ""Sara Webb""]"
06/01/2025,2025,ciência,China Imperial: clima foi estável e bom para agricultura,https://www1.folha.uol.com.br/ciencia/2025/01/clima-durante-ascensao-de-imperio-chines-foi-estavel-e-favoreceu-a-agricultura-aponta-pesquisa.shtml,"[""China imperial"", ""clima"", ""agricultura"", ""dinastia Qin"", ""dinastia Han"", ""anéis de crescimento"", ""Academia Chinesa de Ciências"", ""Universidade de Oslo""]",DESCOBERTA_CIENTIFICA,Interdisciplinar,INTERNACIONAL,"[""Academia Chinesa de Ciências"", ""Universidade de Oslo""]","[""Bao Yang"", ""Nils Stenseth""]"
07/01/2025,2025,ciência,Blue Origin marca data de seu 1º lançamento orbital,https://www1.folha.uol.com.br/ciencia/2025/01/blue-origin-planeja-seu-1o-lancamento-orbital-para-sexta-feira-10.shtml,"[""Blue Origin"", ""Jeff Bezos"", ""SpaceX"", ""New Glenn"", ""Cabo Canaveral"", ""Departamento de Defesa dos EUA"", ""lançamentos orbitais""]",INOVACAO_TECNOLOGICA,Engenharias,INTERNACIONAL,"[""Blue Origin"", ""SpaceX"", ""Departamento de Defesa dos EUA""]","[""Jeff Bezos"", ""Jarrett Jones""]"
07/01/2025,2025,ciência,Por que cientistas usam árvores como cápsulas do tempo,https://www1.folha.uol.com.br/ciencia/2025/01/por-que-cientistas-usam-arvores-como-capsulas-do-tempo.shtml,"[""dendrocronologia"", ""árvores"", ""mudança climática"", ""seca"", ""carbono-14"", ""Universidade Federal de Lavras"", ""Martin Worbes""]",DESCOBERTA_CIENTIFICA,Ciências Biológicas,NACIONAL,"[""Universidade Federal de Lavras""]","[""Ana Carolina Maioli"", ""Martin Worbes""]"
07/01/2025,2025,ciência,"Como pombos, gatos e baleias têm atuado como espiões",https://www1.folha.uol.com.br/ciencia/2025/01/como-pombos-gatos-e-baleias-tem-atuado-como-espioes-ao-longo-da-historia.shtml,"[""baleia"", ""espião"", ""CIA"", ""pombos"", ""tecnologia"", ""drones"", ""guerra fria"", ""experimentos""]",DESCOBERTA_CIENTIFICA,Interdisciplinar,INTERNACIONAL,"[""CIA"", ""Diretoria de Pesca da Noruega""]",[]
07/01/2025,2025,ciência,Aurora 'intensamente verde' é capturada por astronauta,https://www1.folha.uol.com.br/ciencia/2025/01/aurora-intensamente-verde-e-capturada-por-astronauta-a-bordo-da-estacao-espacial-internacional.shtml,"[""aurora"", ""ventos solares"", ""magnetosfera"", ""partículas energéticas"", ""atmosfera"", ""NASA"", ""Donald R. Pettit"", ""Noaa""]",DESCOBERTA_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,"[""NASA"", ""Noaa""]","[""Donald R. Pettit""]"
07/01/2025,2025,ciência,"Depois de entraves, Nasa detalha plano mais barato para trazer amostras de Marte pela 1ª vez",https://g1.globo.com/ciencia/noticia/2025/01/07/nasa-plano-mais-barato-amostras-marte-1a-vez.ghtml,"[""Nasa"", ""Marte"", ""amostras"", ""rover Perseverance"", ""programa de retorno"", ""tecnologia"", ""exploração espacial""]",INOVACAO_TECNOLOGICA,Interdisciplinar,INTERNACIONAL,"[""Nasa"", ""ESA""]","[""Bill Nelson"", ""Nicky Fox""]"
07/01/2025,2025,ciência,VÍDEO: Astronauta captura luzes da aurora boreal diretamente do espaço,https://g1.globo.com/ciencia/noticia/2025/01/07/video-astronauta-captura-luzes-da-aurora-boreal-diretamente-do-espaco.ghtml,"[""aurora boreal"", ""astronauta"", ""Nasa"", ""Don Pettit"", ""partículas carregadas"", ""erupção solar"", ""atmosfera""]",DESCOBERTA_CIENTIFICA,Ciências Exatas e da Terra,INTERNACIONAL,"[""Nasa""]","[""Don Pettit""]"
07/01/2025,2025,ciência,Trabalhadores encontram registro de dinossauros gigantes na Inglaterra,https://g1.globo.com/ciencia/noticia/2025/01/07/trabalhadores-encontram-registro-de-dinossauros-gigantes-na-inglaterra.ghtml,"[""dinossauros"", ""pegadas"", ""Universidade de Birmingham"", ""Jurássico"", ""paleontologia"", ""Oxfordshire"", ""megalossauro"", ""saurópode""]",DESCOBERTA_CIENTIFICA,Ciências Biológicas,INTERNACIONAL,"[""Universidade de Birmingham"", ""Museu de História Natural de Oxford""]","[""Emma Nicholls""]"
07/01/2025,2025,blog longevidade: modo de usar,O plano de garantir uma consulta médica por mês para os 3 bilhões de pessoas acima dos 40 anos,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/01/07/o-plano-de-garantir-uma-consulta-medica-por-mes-para-os-3-bilhoes-de-pessoas-acima-dos-40-anos.ghtml,"[""longevidade"", ""medicina preventiva"", ""inteligência artificial"", ""consultas médicas"", ""saúde"", ""investimentos"", ""ecossistema da prevenção""]",PROMESSA_E_BENEFICIOS,Ciências da Saúde,INTERNACIONAL,"[""Fundação 2060""]","[""Gabriel Cian"", ""Maxime Kamrani""]"
08/01/2025,2025,ciência,"Metapneumovírus: o que é HPMV, o vírus respiratório por trás de alta de infecções na China",https://www.bbc.com/portuguese/articles/cj6zj6e10w4o,"[""metapneumovírus"", ""infecções respiratórias"", ""China"", ""saúde pública"", ""imunidade"", ""Flavio Fonseca"", ""UFMG""]",RISCO_E_AMEACA,Ciências da Saúde,INTERNACIONAL,"[""Centro de Controle de Doenças"", ""Universidade Federal de Minas Gerais""]","[""Flavio Fonseca""]"
08/01/2025,2025,ciência,IA pode replicar personalidade humana com 85% de precisão,https://www1.folha.uol.com.br/ciencia/2025/01/ia-pode-replicar-personalidades-humanas-com-85-de-precisao-segundo-estudo.shtml,"[""inteligência artificial"", ""personalidade"", ""duplicata digital"", ""pesquisa"", ""ciências sociais"", ""metodologia"", ""Joon Sung Park"", ""Google""]",INOVACAO_TECNOLOGICA,Interdisciplinar,INTERNACIONAL,"[""Google"", ""Universidade de Stanford""]","[""Joon Sung Park""]"
08/01/2025,2025,ciência,Índia nomeia novo chefe da agência espacial do país,https://www1.folha.uol.com.br/ciencia/2025/01/india-nomeia-cientista-de-foguetes-como-novo-chefe-da-agencia-espacial-do-pais.shtml,"[""Índia"", ""ISRO"", ""V. Narayanan"", ""superpotência espacial"", ""estação espacial"", ""mercado espacial"", ""tecnologia espacial""]",INOVACAO_TECNOLOGICA,Engenharias,NACIONAL,"[""Organização Indiana de Pesquisa Espacial""]","[""V. Narayanan"", ""S. Somanath"", ""Narendra Modi""]"
08/01/2025,2025,ciência,Poluição por chumbo pode ter afetado QI de antigos romanos,https://www1.folha.uol.com.br/ciencia/2025/01/poluicao-por-chumbo-pode-ter-tornado-antigos-romanos-um-pouco-menos-inteligentes.shtml,"[""poluição"", ""chumbo"", ""Império Romano"", ""QI"", ""saúde"", ""mineração"", ""atmosfera"", ""neurotoxicologia""]",RISCO_E_AMEACA,Ciências Biológicas,INTERNACIONAL,"[""Desert Research Institute"", ""Centro Médico da Universidade de Rochester""]","[""Joseph McConnell"", ""Deborah Cory-Slechta""]"
09/01/2025,2025,ciência,"Incêndios em Los Angeles: o que são os ventos de Santa Ana, que tornam fogo 'incontrolável'",https://www.bbc.com/portuguese/articles/c20503w69x6o,"[""ventos de Santa Ana"", ""incêndios florestais"", ""Los Angeles"", ""alta pressão"", ""Serviço Nacional de Meteorologia"", ""vegetação"", ""secura""]",RISCO_E_AMEACA,Ciências Ambientais,INTERNACIONAL,"[""Serviço Nacional de Meteorologia""]","[""Simon King"", ""Matt Taylor""]"
09/01/2025,2025,blog longevidade: modo de usar,Envelhecimento impacta o suprimento de energia para o cérebro e sua capacidade de eliminar toxinas,https://g1.globo.com/bemestar/blog/longevidade-modo-de-usar/post/2025/01/09/envelhecimento-impacta-o-suprimento-de-energia-para-o-cerebro-e-sua-capacidade-de-eliminar-toxinas.ghtml,"[""envelhecimento"", ""cérebro"", ""toxinas"", ""sistema imunológico"", ""doenças neurodegenerativas"", ""energia"", ""sistema glinfático""]",DESCOBERTA_CIENTIFICA,Ciências da Saúde,INTERNACIONAL,"[""Neuron""]","[""Axel Guskjolen"", ""Costantino Iadecola"", ""Monica Santisteban"", ""Jonathan Kipnis"", ""Michal Schwartz""]"
09/01/2025,2025,ciência,Incêndios em Los Angeles: as imagens de pessoas e animais que tentam fugir do fogo,https://www.bbc.com/portuguese/articles/c3dxdld3lmmo,"[""incêndios florestais"", ""Los Angeles"", ""evacuação"", ""bombeiros"", ""vítimas"", ""serviços de emergência"", ""vegetação seca""]",RISCO_E_AMEACA,Ciências Ambientais,INTERNACIONAL,"[""Câmara Municipal de Los Angeles"", ""Departamento de Bombeiros de Los Angeles""]","[""Marqueece Harris-Dawson"", ""Robert Luna"", ""Jim McDonnell"", ""Kristin Crowley"", ""Orly Israel""]"
